chengyu	pingyin	jieshi	chuchu	lizi
解民倒悬	jiě mín dào xuán	解解救；倒悬人被倒挂，比喻处境困难、危急。比喻把受苦难的人民解救出来。	《孟子·公孙丑上》当今之时，万乘之国行仁政，民之悦之，犹解倒悬也。	近一两年来，他常常在心中琢磨着要得天下必须如何～收买人心。★姚雪垠《李自成》第一卷第六章
解弦更张	jiě xián gēng zhāng	更改换；张给乐器上弦。改换、调整乐器上的弦，使声音和谐。比喻改革制度或变更计划、方法。	《汉书·董仲舒传》窃譬之琴瑟不调，甚者必解而更张之，乃可鼓也。	无
解囊相助	jiě náng xiāng zhù	囊口袋。拿出财物帮助别人。	元·无名氏《来生债》但见个贫的呵，我早则倾囊儿资助。”明·张岱《娘嬛文集·募修岳鄂王祠募疏》若有贤士大夫解囊乐助，自为王所式凭。	每当同学有困难时，老师总是～。
解发佯狂	jiě fà yáng kuáng	解发把头发散开；佯假装。散开头发假装癫狂。	汉·韩婴《韩诗外传》第六卷比干谏而死。箕子曰‘知不用而言，愚也；杀身以彰君之恶，不忠也。二者不可然且为之，不祥莫大焉！’遂解发佯狂而去。	无
解剑拜仇	jiě jiàn bài chóu	指息争释怨。	汉许荆兄子世尝杀人，仇者将杀世，荆乃跪拜仇者曰兄早没，只一子，原杀身代之。”仇者曰许掾郡中称贤，何敢相侵！”因解剑去。事见《汉书·许荆传》。	公不谋声训，而楚夏移情，故能使～，归田息讼。★南朝·梁·任昿《〈王文宪集〉序》
解兵释甲	jiě bīng shì jiǎ	解解除；释卸下。解除武装，卸掉盔甲。比喻不再参战。	明·无名氏《伐晋兴齐》第四折解兵释甲，社稷宁谧，黎民乐业。	无
解人难得	jiě rén nán dé	解人原指通达言语或文辞意趣的人，借指知己；难得不易得到。比喻知己难得。	南朝·宋·刘义庆《世说新语·文学》谢安年少时，请阮光禄道《白马论》，为论以示谢，于时，谢不即解阮语，重相咨尽。阮乃叹曰‘非但能言人不可得，正索解人亦不得。’	无
觞酒豆肉	shāng jiǔ dòu ròu	觞，古代盛酒器；豆，古代盛食器。泛指饮食。	无	无
角立杰出	jiao li jie chu	指卓然特立，超过一般。	无	无
角户分门	jiǎo hù fēn mén	指分立门户，比喻结党营私。	《明史·华允诚传》四海渐成土崩瓦解之形，诸臣但有角户分门之念。	无
角巾私第	jiǎo jīn sī dì	角巾古时隐士常戴的一种有棱角的头巾；私第私人住宅。脱掉官服，戴上头巾，居住在私宅。指闲居不仕。	《晋书·王瀎传》卿旋旆之日，角巾私第，口不言平吴之事。	无
角巾东路	jiǎo jīn dōng lù	意指辞官退隐，登东归之路◇用以为归隐的典故。	《晋书·羊祜传》尝与从弟琹书曰‘既定边事，当角巾东路，归故里，为容棺之墟。’	待～，蹇驴北阜，伴公游钓。★宋·刘克庄《水龙吟·辛亥安晚生朝》词
觉人觉世	jué rén jué shì	指启发世人觉悟。	清关燮《序》我如今也谱得《道情》十首，无非唤醒痴聋，销除烦恼……若遇争名夺利之场，正好觉人觉世。	无
览闻辩见	lǎn wén biàn jiàn	指见识多，能说会道。	汉·袁康《越绝书·外传纪策考》为人览闻辩见，目达耳通，诸事无所不知。	无
视险若夷	shì xiǎn ruò yí	走在危险的地方就象走在平地一样。比喻平安地渡过困境。同视险如夷”。	无	无
视险如夷	shì xiǎn rú yí	夷平坦。走在危险的地方就象走在平地一样。比喻平安地渡过困境。	汉·刘协《喻郭汜诏》今得东移，望远若近，视险如夷。	无
视远步高	shì yuǎn bù gāo	高视阔步。形容态度傲慢。	无	无
视财如命	shì cái rú mìng	形容人的吝啬，把钱财看得有如生命一般。	无	他～，若想要他捐款，真比登天还难。
视若路人	shì ruò lù rén	看做路上遇到的陌生人。指与亲人或熟人非常疏远。	明·凌濛初《初刻拍案惊奇》第13卷漫然视若路人，甚而等之仇敌，败坏彝伦，灭绝天理。	～，至饥饱寒温，无可告语。★清·纪昀《阅微草堂笔记·滦阳消夏录六》
视若无睹	shì ruò wú dǔ	睹看见。虽然看见了，却象没有看见一样。指对眼前事物莫不关心。	唐·韩愈《应科目时与人书》是以有力者遇之，熟视之若无睹也。	对敌人采用的反动的新原则～。★毛泽东《中国革命战争的战略问题》
视若儿戏	shì ruò ér xì	比喻不当一回事，极不重视。同视同儿戏”。	无	无
视而不见，听而不闻	shì ér bù jiàn，tīng ér bù wén	看见了同没有看见一样，听见了同没有听见一样。形容不重视，不注意。	无	无
视而不见	shì ér bù jiàn	指不注意，不重视，睁着眼却没看见。也指不理睬，看见了当作没看见。	《礼记·大学》心不在焉，视而不见，听而不闻，食而不知其味。	无
视民如子	shì mín rú zǐ	形容帝王、官吏爱护百姓。	无	无
视民如伤	shì mín rú shāng	把百姓当作有伤病的人一样照顾。旧时形容在位者关怀人民。	《左传·哀公元年》臣闻国之兴也，视民如伤，是其福也；其亡也，以民为土芥，是其祸也。	君莅其任，～。★晋·潘岳《扬荆州诔》
视死若生	shì sǐ ruò shēng	把死去看做活着一样。形容不怕死。	《庄子·秋水》白刃交于前，视死若生者，烈士之勇也。	无
视死若归	shì sǐ ruò guī	把死看得象回家一样平常。形容不怕牺牲生命。同视死如归”。	无	无
视死犹归	shì sǐ yóu guī	把死看得象回家一样平常。形容不怕牺牲生命。同视死如归”。	无	无
视死如饴	shì sǐ rú yí	指甘心死去。	无	无
视死如生	shì sǐ rú shēng	把死去看做活着一样。形容不怕死。同视死若生”。	无	无
视死如归	shì sǐ rú guī	把死看得象回家一样平常。形容不怕牺牲生命。	《韩非子·外储说左下》三军既成阵，使士视死如归，臣不如公子成父。”《吕氏春秋·勿躬》三军之士，视死如归。	我们已经是～，我们大踏步地走着我们的大路。★郭沫若《如火如荼的恐怖》诗
视日如年	shì rì rú nián	指时间虽短，但却感到过得很长。	明·方孝孺《与郑叔度书》之七自发义乌信，引领西跂，视日如年，今两月矣。	无
视微知著	shì wēi zhī zhuó	看到细微迹象，就能知道它的发展趋势。	三国·蜀·诸葛亮《便宜十六策·思虑》君子视微知著，见始知终，祸无从起，此思虑之政也。	无
视如陌路	shì rú mò lù	指与亲人或熟人非常疏远。同视若路人”。	无	无
视如草芥	shì rú cǎo jiè	芥小草。看作象泥土，小草一般轻贱。比喻极端轻视。	《孟子·离娄下》君之视臣如土芥，则臣视君如寇仇。	任其生死，～。★鲁迅《且介亭杂文·病后杂谈之余》
视如粪土	shì rú fèn tǔ	看得如同秽土那样下贱。比喻极端蔑视。	无	无
视如珍宝	shì rú zhēn bǎo	形容十分珍爱。	清·曹雪芹《红楼梦》第一百十八回当此圣世，咱们世受国恩，祖父锦衣玉食；况你自有生以来，自去世的老太太，以及老爷太太，视如珍宝。	令尊只亲生你一个儿子，～。★清·李绿园《歧路灯》第十四回
视如敝屣	shì rú bì xǐ	敝屣破鞋子。象破烂鞋子一样看待。比喻非常轻视。	《孟子·尽心上》舜视弃天下犹弃敝屣也。	无
视如敝屐	shì rú bì jī	象破烂鞋子一样看待。比喻非常轻视。	无	无
视如寇仇	shì rú kòu chóu	寇仇仇敌。看得象仇人一样。	《孟子·离娄下》君之视臣如土芥，则臣视君如寇仇。	倘明哲君子，洞察其奸，于家中妇女不时正言规劝，以三姑六婆～。★清·李汝珍《镜花缘》第十二回
视如土芥	shì rú tǔ jiè	芥小草。看作象泥土，小草一般轻贱。比喻不放在眼里。	《孟子·离娄下》君之视臣如土芥，则臣视君如寇仇。	无
视同陌路	shì tóng mò lù	指与亲人或熟人非常疏远。同视若路人”。	无	无
视同路人	shì tóng lù rén	路人过路人，指素不相识的人。看做路上遇到的陌生人。指与亲人或熟人非常疏远。	明·凌濛初《初刻拍案惊奇》卷十三漫然视若路人；甚而等之仇敌。	无
视同秦越	shì tóng qín yuè	先秦时秦越两国，一在西北，一在东南，相去极远◇因称疏远隔膜、互不相关为视同秦越”。	无	无
视同拱璧	shì tóng gǒng bì	看作两手合抱的璧玉。比喻十分珍贵。	无	无
视同儿戏	shì tóng ér xì	把事情当成小孩儿玩耍一样来对待。比喻不当一回事，极不重视。	《史记·绛侯周勃世家》曩者霸上、棘门军，若儿戏耳，其将固可袭而虏也。	为官做吏的人，千万不可草菅人命，～。★明·凌濛初《初刻拍案惊奇》卷十一
视同一律	shì tóng yī lǜ	指同等看待。	无	无
视人如子	shì rén rú zǐ	形容帝王、官吏爱护百姓。同视民如子”。	无	无
视人如伤	shì rén rú shāng	把百姓当作有伤病的人一样照顾。旧时形容在位者关怀人民。同视民如伤”。	无	无
视之不见，听之不闻	shì zhī bù jiàn，tīng zhī bù wén	看见了同没有看见一样，听见了同没有听见一样。形容不重视，不注意。同视而不见，听而不闻”。	无	无
视为知己	shì wéi zhī jǐ	看成好朋友。	无	无
视为畏途	shì wéi wèi tú	畏途可怕的道路。看成可怕的、危险的道路。也比喻看成困难的、可怕的事情。	《庄子·达生》夫畏涂者，十杀一人，则父子兄弟相戒也。	近来刑部，因批驳严，参罚重，缙绅中～。★明·东鲁古狂生《醉醒石》第九回
视为寇雠	shì wéi kòu chóu	比喻极端仇视。	《孟子·离娄下》君之视臣如土芥，则臣视君如寇雠。	无
视为儿戏	shì wéi ér xì	比喻不当一回事，极不重视。同视同儿戏”。	无	无
视丹如绿	shì dān rú lǜ	丹红。把红的看成绿的。形容因过分忧愁而目视昏花。	三国魏·郭遐叔《赠嵇叔夜》诗心之忧矣，视丹如绿。	无
视下如伤	shì xià rú shāng	把百姓当作有伤病的人一样照顾。旧时形容在位者关怀人民。同视民如伤”。	无	无
觅迹寻踪	mì jì xún zōng	觅找；踪迹，脚印，指行踪。到处寻找别人的行踪。	元·吴昌龄《张天师断风花雪夜》第一折却待要拄眼睁睛，觅迹寻踪，莫非他锦阵花营，不曾厮共，险教咱风月无功。	无
规重矩迭	guī zhòng jǔ dié	指合乎规矩法度。	无	无
规重矩叠	guī chóng jǔ dié	指合乎规矩法度。	无	无
规贤矩圣	guī xián jǔ shèng	指效法圣贤。	宋·叶適《〈覆瓿集〉序》长铺广引，浩绝河汉，渠不起其辨！规贤矩圣，皎逾雪霜，渠不范其廉！	无
规言矩步	guī yán jǔ bù	比喻言行谨慎，合乎法度。	清·纪昀《阅微草堂笔记·如是我闻四》曩以汝为古君子，故任汝放诞，未敢侮汝。汝近乃作负心事，知从前规言矩步，皆貌是心非，今不复畏汝矣。	无
规行矩步	guī xíng jǔ bù	规、矩圆规和角尺，引伸为准则；步用脚走。指严格按照规矩办事，毫不苟且。也指办事死板，不灵活。	晋·潘尼《释奠颂》二学儒官，缙绅先生之徒，垂缨佩玉，规行矩步者，皆端委而陪于堂下，以待执事之命。”北齐·颜之推《颜氏家训·序致》规行矩步，安辞定色。	今士循常习故，～，积阶级，累阀阅，碌碌然以取世资。★《晋书·张载传》
规行矩止	guī xíng jǔ zhǐ	规、矩圆规和角尺，引伸为准则。指严格按照规矩办事，毫不苟且。也指办事死板，不灵活。	晋·潘尼《释奠颂》二学儒官，缙绅先生之徒，垂缨佩玉，规行矩步者，皆端委而陪于堂下，以待执事之命。	端居危坐，～，相与奋髯横议，役袂高谈。★宋·司马光《稷下赋》
